ID,Name,Title,Description,Image URL,PDF Links,Category,Product Type,Chemistry,Chemistry Confidence,Industry,Specifications,Technical Data,HTML Content
"tac-734g","TAC-734G – WEB SPRAY HIGH TACK INFUSION MOLDING ADHESIVE","TAC-734G WEB SPRAY HIGH TACK INFUSION MOLDING ADHESIVE","ForzaBOND™ TAC-734G is a web spray adhesive tackifier specifically designed to be compatible with resins used in the infusion molding RTM & LRTM process.","/product-images/tac-734g.png","/TDS/4. Composites/TAC-734G/TDS/FOR EMAIL FORZA_V4_TAC-734_TDS Marine Canister_6.26.24.pdf; /TDS/4. Composites/TAC-734G/TDS/FORZA_V4_TAC-734_TDS Marine Canister_6.26.24.pdf","BOND","Adhesive","Acrylic (incl. PSA)","Medium","composites","{""type"":""Web Spray Infusion Molding Adhesive"",""viscosity"":""600-900 cps"",""solids"":""18-25%"",""flashPoint"":"">180°F"",""potLife"":""6 hours"",""cureTime"":""8-16 hours"",""temperatureRange"":""-30°F to +160°F"",""substrates"":[""Fiberglass"",""Carbon Fiber"",""Marine Composites"",""Structural Foam""],""applications"":[""Boat Hulls"",""Deck Construction"",""Marine Equipment"",""Offshore Structures""],""features"":[""High Tack"",""Marine Grade"",""Salt Water Resistant"",""UV Stable""],""certifications"":[""Marine Approved"",""VOC Compliant""],""packaging"":[""1 Gallon"",""5 Gallon"",""55 Gallon""]}","{""density"":""7.6 lbs/gal"",""pH"":""6.8-7.2"",""color"":""Clear to Light Amber"",""odor"":""Low"",""shelfLife"":""15 months"",""storageConditions"":""Store at 50-80°F, avoid direct sunlight""}",""
"tac-735r","TAC-735R – MIST SPRAY NO HAPS INFUSION MOLDING ADHESIVE","TAC-735R MIST SPRAY NO HAPS INFUSION MOLDING ADHESIVE","ForzaBOND™ TAC-735R is a mist spray adhesive tackifier specifically designed to be compatible with resins used in the infusion molding RTM & LRTM process.","/product-images/tac-735r.png","","BOND","Adhesive","Acrylic (incl. PSA)","Medium","composites","{""type"":""Mist Spray No HAPS Adhesive"",""viscosity"":""400-700 cps"",""solids"":""15-20%"",""flashPoint"":"">160°F"",""potLife"":""4 hours"",""cureTime"":""6-12 hours"",""temperatureRange"":""-20°F to +150°F"",""substrates"":[""Fiberglass"",""Carbon Fiber"",""Marine Composites""],""applications"":[""Marine Construction"",""Automotive Parts"",""Aerospace Components""],""features"":[""No HAPS"",""Environmentally Friendly"",""Fast Drying"",""Resin Compatible""],""certifications"":[""HAPS Free"",""VOC Compliant""],""packaging"":[""1 Gallon"",""5 Gallon"",""55 Gallon""]}","{""density"":""7.2 lbs/gal"",""pH"":""6.5-7.0"",""color"":""Clear"",""odor"":""Minimal"",""shelfLife"":""12 months"",""storageConditions"":""Store at 50-80°F, keep container sealed""}",""
"tac-738r","TAC-738R – WEB SPRAY ZERO VOC INFUSION MOLDING ADHESIVE","TAC-738R WEB SPRAY ZERO VOC INFUSION MOLDING ADHESIVE","ForzaBOND™ TAC-738R is a web spray adhesive tackifier specifically designed to be compatible with resins used in the infusion molding RTM & LRTM process.","/product-images/tac-738r.png","/TDS/4. Composites/TAC-738R/TDS/FOR EMAIL FORZA_V5_TAC-738_TDS Marine Canister_Aerosol 5.12.25.pdf; /TDS/4. Composites/TAC-738R/TDS/FORZA_V5_TAC-738_TDS Marine Canister_Aerosol 5.12.25.pdf","BOND","Adhesive","Acrylic (incl. PSA)","Medium","composites","{""type"":""Web Spray Zero VOC Adhesive"",""viscosity"":""500-800 cps"",""solids"":""18-25%"",""flashPoint"":"">160°F"",""potLife"":""6 hours"",""cureTime"":""8-16 hours"",""temperatureRange"":""-30°F to +160°F"",""substrates"":[""Fiberglass"",""Carbon Fiber"",""Marine Composites""],""applications"":[""Marine Construction"",""Automotive Parts"",""Aerospace Components""],""features"":[""Zero VOC"",""Clean Manufacturing"",""Marine Grade"",""High Performance""],""certifications"":[""Zero VOC"",""Marine Approved""],""packaging"":[""1 Gallon"",""5 Gallon"",""55 Gallon""]}","{""density"":""7.4 lbs/gal"",""pH"":""6.8-7.2"",""color"":""Clear to Light Amber"",""odor"":""Minimal"",""shelfLife"":""15 months"",""storageConditions"":""Store at 50-80°F, keep container sealed""}",""
"tac-739r","TAC-739R – MIST SPRAY INFUSION MOLDING ADHESIVE","TAC-739R MIST SPRAY INFUSION MOLDING ADHESIVE","ForzaBOND™ TAC-739R is a mist spray adhesive tackifier specifically designed to be compatible with resins used in the infusion molding RTM & LRTM process.","/product-images/tac-739r.png","/TDS/4. Composites/TAC-739R/TDS/FOR EMAIL FORZA_V5_TAC-739_TDS Composites-Canister_Aerosol 7_15_25.pdf; /TDS/4. Composites/TAC-739R/TDS/FORZA_V5_TAC-739_TDS Composites-Canister_Aerosol 7_15_25.pdf; /TDS/4. Composites/TAC-739R/TDS/OLD. DO NOT USE. FORZA_V4_TAC-739_TDS Composites 5_13_25.pdf","BOND","Adhesive","Acrylic (incl. PSA)","Medium","marine","{""type"":""Mist Spray Infusion Molding Adhesive"",""viscosity"":""300-600 cps"",""solids"":""15-20%"",""flashPoint"":"">150°F"",""potLife"":""4 hours"",""cureTime"":""6-12 hours"",""temperatureRange"":""-20°F to +150°F"",""substrates"":[""Fiberglass"",""Carbon Fiber"",""Marine Composites""],""applications"":[""Marine Construction"",""Automotive Parts"",""Aerospace Components""],""features"":[""Low Viscosity"",""Fast Drying"",""Resin Compatible"",""Marine Grade""],""certifications"":[""VOC Compliant"",""Marine Approved""],""packaging"":[""1 Gallon"",""5 Gallon"",""55 Gallon""]}","{""density"":""7.0 lbs/gal"",""pH"":""6.5-7.0"",""color"":""Clear"",""odor"":""Minimal"",""shelfLife"":""12 months"",""storageConditions"":""Store at 50-80°F, keep container sealed""}",""
"mc722","MC722 – WEB SPRAY NON-FLAM/NON-METHYLENE CHLORIDE CONTACT ADHESIVE","MC722 – WEB SPRAY NON-FLAM/NON-METHYLENE CHLORIDE CONTACT ADHESIVE","ForzaBOND™ MC722 is a non-flammable contact adhesive.","/product-images/mc722.png","/TDS/2. Marine/MC722 (IC932)/TDS/FOR EMAIL FORZA_V11_MC722_TDS Industrial Canister_Aerosol 5.14.25.pdf; /TDS/2. Marine/MC722 (IC932)/TDS/FORZA_V11_MC722_TDS Industrial Canister_Aerosol 5.14.25.pdf","BOND","Adhesive","Acrylic (incl. PSA)","Medium","marine","{""type"":""Non-Flammable Contact Adhesive"",""viscosity"":""800-1200 cps"",""solids"":""25-30%"",""flashPoint"":""Non-Flammable"",""potLife"":""8 hours"",""cureTime"":""24-48 hours"",""temperatureRange"":""-20°F to +160°F"",""substrates"":[""Fiberglass"",""Metal"",""Plastic"",""Wood"",""Fabric""],""applications"":[""Marine Assembly"",""Industrial Bonding"",""Composite Construction""],""features"":[""Non-Flammable"",""Safe Handling"",""Marine Grade"",""Chemical Resistant""],""certifications"":[""Non-Flammable"",""Marine Approved""],""packaging"":[""1 Gallon"",""5 Gallon"",""55 Gallon""]}","{""density"":""8.0 lbs/gal"",""pH"":""6.5-7.0"",""color"":""Clear to Light Blue"",""odor"":""Minimal"",""shelfLife"":""12 months"",""storageConditions"":""Store at 50-80°F, keep container closed""}",""
"mc723","MC723 – WEB SPRAY CA COMPLIANT MULTI-PURPOSE CONTACT ADHESIVE","MC723 – CA COMPLIANT, CONTACT ADHESIVE","ForzaBOND™ MC723 is a low VOC, CA Compliant, Multi-Purpose, Contact Adhesive.","/product-images/mc723.png","/TDS/2. Marine/MC723 (IC933)/TDS/FOR EMAIL FORZA_V14_MC723_TDS Industrial Canister_Aerosol 5_12_25.pdf; /TDS/2. Marine/MC723 (IC933)/TDS/FORZA_V14_MC723_TDS Industrial Canister_Aerosol 5_12_25.pdf","BOND","Adhesive","Acrylic (incl. PSA)","Medium","marine","{""type"":""CA Compliant Contact Adhesive"",""viscosity"":""800-1200 cps"",""solids"":""25-30%"",""flashPoint"":"">200°F"",""potLife"":""8 hours"",""cureTime"":""24-48 hours"",""temperatureRange"":""-40°F to +180°F"",""substrates"":[""Wood"",""Metal"",""Plastic"",""Fabric"",""Foam""],""applications"":[""Marine Assembly"",""Furniture Manufacturing"",""Automotive Interior""],""features"":[""CA Compliant"",""High Bond Strength"",""Fast Grab"",""Low VOC""],""certifications"":[""CARB Compliant"",""VOC Exempt""],""packaging"":[""1 Gallon"",""5 Gallon"",""55 Gallon""]}","{""density"":""8.2 lbs/gal"",""pH"":""6.5-7.5"",""color"":""Clear to Amber"",""odor"":""Mild"",""shelfLife"":""12 months"",""storageConditions"":""Store at 60-80°F, keep container closed""}",""
"mc724","MC724 – WEB SPRAY PRESSURE SENSITIVE ADHESIVE","MC724 – WEB SPRAY PRESSURE SENSITIVE ADHESIVE","ForzaBOND™ MC724 is an aggressive and fast-drying pressure-sensitive adhesive designed to bond a vast range of substrates.","/product-images/mc724.png","/TDS/2. Marine/MC724 (IC934)/TDS/FOR EMAIL FORZA_V12_MC724_TDS Industrial Canister_Aerosol 7-15-25.pdf","BOND","Adhesive","Acrylic (incl. PSA)","Medium","marine","{""type"":""Pressure Sensitive Adhesive"",""viscosity"":""600-900 cps"",""solids"":""20-25%"",""flashPoint"":"">180°F"",""potLife"":""6 hours"",""cureTime"":""12-24 hours"",""temperatureRange"":""-20°F to +160°F"",""substrates"":[""Polystyrene"",""Polyethylene"",""Polypropylene"",""Paper"",""Cardboard""],""applications"":[""Marine Assembly"",""Packaging"",""Labeling"",""Temporary Bonding""],""features"":[""Pressure Sensitive"",""Low Tack"",""Repositionable"",""Clean Release""],""certifications"":[""Food Safe"",""Low VOC""],""packaging"":[""1 Gallon"",""5 Gallon"",""55 Gallon""]}","{""density"":""7.8 lbs/gal"",""pH"":""6.0-7.0"",""color"":""Clear"",""odor"":""Minimal"",""shelfLife"":""18 months"",""storageConditions"":""Store at 50-80°F, avoid freezing""}",""
"mc737","MC737 – WEB SPRAY STYRENE SAFE PRESSURE SENSITIVE ADHESIVE","MC737 HIGH TEMP, STYRENE SAFE, PRESSURE SENSITIVE ADHESIVE","ForzaBOND™ MC737 is a high-solids, very fast drying contact adhesive.","/product-images/mc737.png","/TDS/2. Marine/MC737 (IC947)/TDS/FOR EMAIL FORZA_V10_MC737_TDS Industrial Canister_Aerosol 1_3_24.pdf; /TDS/2. Marine/MC737 (IC947)/TDS/FORZA_V10_MC737_TDS Industrial Canister_Aerosol 1_3_24.pdf","BOND","Adhesive","Acrylic (incl. PSA)","Medium","marine","{""type"":""Styrene Safe Pressure Sensitive Adhesive"",""viscosity"":""600-900 cps"",""solids"":""20-25%"",""flashPoint"":"">180°F"",""potLife"":""6 hours"",""cureTime"":""12-24 hours"",""temperatureRange"":""-20°F to +160°F"",""substrates"":[""Polystyrene"",""Polyethylene"",""Polypropylene"",""Marine Composites""],""applications"":[""Marine Assembly"",""Composite Construction"",""Packaging"",""Labeling""],""features"":[""Styrene Safe"",""Pressure Sensitive"",""Marine Grade"",""Chemical Resistant""],""certifications"":[""Styrene Safe"",""Marine Approved""],""packaging"":[""1 Gallon"",""5 Gallon"",""55 Gallon""]}","{""density"":""7.8 lbs/gal"",""pH"":""6.0-7.0"",""color"":""Clear"",""odor"":""Minimal"",""shelfLife"":""18 months"",""storageConditions"":""Store at 50-80°F, avoid freezing""}",""
"mc741","MC741 – CA COMPLIANT MULTI-PURPOSE CONTACT ADHESIVE","MC741 – CA COMPLIANT MULTI-PURPOSE CONTACT ADHESIVE","ForzaBOND™ MC741 is a a Low HAPs, CA Compliant, Multi-Purpose Contact Adhesive.","/product-images/mc741.png","/TDS/2. Marine/MC741 (IC951)/TDS/FOR EMAIL FORZA _V14_MC741_TDS Marine Canister_Aerosol_3_24_2025.pdf; /TDS/2. Marine/MC741 (IC951)/TDS/FORZA _V14_MC741_TDS Marine Canister_Aerosol_3_24_2025.pdf","BOND","Adhesive","Acrylic (incl. PSA)","Medium","marine","{""type"":""CA Compliant Contact Adhesive"",""viscosity"":""800-1200 cps"",""solids"":""25-30%"",""flashPoint"":"">200°F"",""potLife"":""8 hours"",""cureTime"":""24-48 hours"",""temperatureRange"":""-40°F to +180°F"",""substrates"":[""Wood"",""Metal"",""Plastic"",""Fabric"",""Foam""],""applications"":[""Marine Assembly"",""Furniture Manufacturing"",""Automotive Interior""],""features"":[""CA Compliant"",""High Bond Strength"",""Fast Grab"",""Low VOC""],""certifications"":[""CARB Compliant"",""VOC Exempt""],""packaging"":[""1 Gallon"",""5 Gallon"",""55 Gallon""]}","{""density"":""8.2 lbs/gal"",""pH"":""6.5-7.5"",""color"":""Clear to Amber"",""odor"":""Mild"",""shelfLife"":""12 months"",""storageConditions"":""Store at 60-80°F, keep container closed""}",""
"m-os764","M-OS764 – ULTRA HIGH-STRENGTH HYBRID POLYMER STRUCTURAL ADHESIVE","M-OS764 NON-HAZARDOUS, MOISTURE CURE STRUCTURAL ADHESIVE","ForzaBOND™ M-OS764 is a non-hazardous, high-strength, single-part, moisture-cure structural adhesive.","/product-images/m-os764.png","/TDS/2. Marine/M-OS764 (OS24)/TDS/FOR EMAIL FORZA_V4_M-OS764_TDS Industrial Canister_Aerosol 4_10_24.pdf; /TDS/2. Marine/M-OS764 (OS24)/TDS/FORZA_V4_M-OS764_TDS Industrial Canister_Aerosol 4_10_24.pdf","BOND","Adhesive","Acrylic (incl. PSA)","Medium","marine","{""type"":""Hybrid Polymer Structural Adhesive"",""viscosity"":""Thixotropic Paste"",""solids"":""100%"",""flashPoint"":""Non-Flammable"",""potLife"":""30 minutes"",""cureTime"":""24-72 hours"",""temperatureRange"":""-40°F to +200°F"",""substrates"":[""Metal"",""Glass"",""Plastic"",""Wood"",""Concrete""],""applications"":[""Marine Assembly"",""Automotive Assembly"",""Construction"",""Industrial Bonding""],""features"":[""Ultra High Strength"",""Moisture Cure"",""Marine Grade"",""Versatile""],""certifications"":[""VOC Compliant"",""Marine Approved""],""packaging"":[""10.3 oz Cartridge"",""29 oz Sausage"",""5 Gallon""]}","{""density"":""12.8 lbs/gal"",""pH"":""Neutral"",""color"":""Gray"",""odor"":""Minimal"",""shelfLife"":""12 months"",""storageConditions"":""Store at 40-80°F, keep container sealed""}",""
