Product ID,Product Name,Product Code,Category,Chemistry Type
1. Industrial_81-0389,81-0389,81-0389,1. Industrial,Unknown
1. Industrial_A1000,A1000,A1000,1. Industrial,Acrylic (incl. PSA)
1. Industrial_A450,A450,A450,1. Industrial,Acrylic (incl. PSA)
1. Industrial_A465,A465,A465,1. Industrial,Acrylic (incl. PSA)
1. Industrial_A729,A729,A729,1. Industrial,Acrylic (incl. PSA)
1. Industrial_C110,C110,C110,1. Industrial,Unknown
1. Industrial_C130,C130,C130,1. Industrial,Unknown
1. Industrial_C331,C331,C331,1. Industrial,Unknown
1. Industrial_C805,C805,C805,1. Industrial,Unknown
1. Industrial_C830,C830,C830,1. Industrial,Unknown
1. Industrial_C835,C835,C835,1. Industrial,Unknown
1. Industrial_CA1000,CA1000,CA1000,1. Industrial,Unknown
1. Industrial_CA1500,CA1500,CA1500,1. Industrial,Unknown
1. Industrial_CA2400,CA2400,CA2400,1. Industrial,Unknown
1. Industrial_H103,H103,H103,1. Industrial,Solvent Based
1. Industrial_H117,H117,H117,1. Industrial,Solvent Based
1. Industrial_H158,H158,H158,1. Industrial,Solvent Based
1. Industrial_H163,H163,H163,1. Industrial,Solvent Based
1. Industrial_H164,H164,H164,1. Industrial,Solvent Based
1. Industrial_H167,H167,H167,1. Industrial,Solvent Based
1. Industrial_H176,H176,H176,1. Industrial,Solvent Based
1. Industrial_IC932,IC932,IC932,1. Industrial,Epoxy
1. Industrial_IC933,IC933,IC933,1. Industrial,Epoxy
1. Industrial_IC934,IC934,IC934,1. Industrial,Epoxy
1. Industrial_IC936,IC936,IC936,1. Industrial,Epoxy
1. Industrial_IC946,IC946,IC946,1. Industrial,Epoxy
1. Industrial_IC947,IC947,IC947,1. Industrial,Epoxy
1. Industrial_IC951,IC951,IC951,1. Industrial,Epoxy
1. Industrial_IC952,IC952,IC952,1. Industrial,Epoxy
1. Industrial_IC955NF,IC955NF,IC955NF,1. Industrial,Epoxy
1. Industrial_OA12,OA12,OA12,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial_OA13,OA13,OA13,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial_OA23,OA23,OA23,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial_OA28,OA28,OA28,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial_OA29,OA29,OA29,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial_OA4,OA4,OA4,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial_OS10,OS10,OS10,1. Industrial,Silicone
1. Industrial_OS2,OS2,OS2,1. Industrial,Silicone
1. Industrial_OS20,OS20,OS20,1. Industrial,Silicone
1. Industrial_OS24,OS24,OS24,1. Industrial,Silicone
1. Industrial_OS25,OS25,OS25,1. Industrial,Silicone
1. Industrial_OS35,OS35,OS35,1. Industrial,Silicone
1. Industrial_OS37,OS37,OS37,1. Industrial,Silicone
1. Industrial_OS61,OS61,OS61,1. Industrial,Silicone
1. Industrial_OSA,OSA,OSA,1. Industrial,Silicone
1. Industrial_R160,R160,R160,1. Industrial,Epoxy
1. Industrial_R190,R190,R190,1. Industrial,Epoxy
1. Industrial_R221,R221,R221,1. Industrial,Epoxy
1. Industrial_R519,R519,R519,1. Industrial,Epoxy
1. Industrial_T205,T205,T205,1. Industrial,Acrylic (incl. PSA)
1. Industrial_T215,T215,T215,1. Industrial,Acrylic (incl. PSA)
1. Industrial_T220,T220,T220,1. Industrial,Acrylic (incl. PSA)
1. Industrial_T305,T305,T305,1. Industrial,Acrylic (incl. PSA)
1. Industrial_T310,T310,T310,1. Industrial,Acrylic (incl. PSA)
1. Industrial_T449,T449,T449,1. Industrial,Acrylic (incl. PSA)
1. Industrial_T464,T464,T464,1. Industrial,Acrylic (incl. PSA)
1. Industrial_T465,T465,T465,1. Industrial,Acrylic (incl. PSA)
1. Industrial_T532,T532,T532,1. Industrial,Acrylic (incl. PSA)
1. Industrial_T710,T710,T710,1. Industrial,Acrylic (incl. PSA)
1. Industrial_T715,T715,T715,1. Industrial,Acrylic (incl. PSA)
1. Industrial_TA56,TA56,TA56,1. Industrial,Acrylic (incl. PSA)
1. Industrial_W700,W700,W700,1. Industrial,Unknown
1. Industrial_mc739,mc739,mc739,1. Industrial,Unknown
1. Industrial_os55,os55,os55,1. Industrial,Unknown
1. Industrial_t500,t500,t500,1. Industrial,Unknown
2. Marine_Environmental Data Sheets,Environmental Data Sheets,Environmental Data Sheets,2. Marine,Unknown
2. Marine_M-C280 (C130),M-C280 (C130),M-C280 (C130),2. Marine,Unknown
2. Marine_M-C283 (C331),M-C283 (C331),M-C283 (C331),2. Marine,Unknown
2. Marine_M-C285 (81-0389),M-C285 (81-0389),M-C285 (81-0389),2. Marine,Unknown
2. Marine_M-OA755 (OA4),M-OA755 (OA4),M-OA755 (OA4),2. Marine,Unknown
2. Marine_M-OS764 (OS24),M-OS764 (OS24),M-OS764 (OS24),2. Marine,Unknown
2. Marine_M-OS789 (OS2),M-OS789 (OS2),M-OS789 (OS2),2. Marine,Unknown
2. Marine_M-OS796 (OS16),M-OS796 (OS16),M-OS796 (OS16),2. Marine,Unknown
2. Marine_M-OSA783 (OSA),M-OSA783 (OSA),M-OSA783 (OSA),2. Marine,Unknown
2. Marine_M-R420 (R160),M-R420 (R160),M-R420 (R160),2. Marine,Unknown
2. Marine_M-R445 (R221),M-R445 (R221),M-R445 (R221),2. Marine,Unknown
2. Marine_M-R478 (R519),M-R478 (R519),M-R478 (R519),2. Marine,Unknown
2. Marine_M-T815 (T215),M-T815 (T215),M-T815 (T215),2. Marine,Unknown
2. Marine_M-T820 (T220),M-T820 (T220),M-T820 (T220),2. Marine,Unknown
2. Marine_MC722 (IC932),MC722 (IC932),MC722 (IC932),2. Marine,Unknown
2. Marine_MC723 (IC933),MC723 (IC933),MC723 (IC933),2. Marine,Unknown
2. Marine_MC724 (IC934),MC724 (IC934),MC724 (IC934),2. Marine,Unknown
2. Marine_MC736 (IC946),MC736 (IC946),MC736 (IC946),2. Marine,Unknown
2. Marine_MC737 (IC947),MC737 (IC947),MC737 (IC947),2. Marine,Unknown
2. Marine_MC739,MC739,MC739,2. Marine,Unknown
2. Marine_MC741 (IC951),MC741 (IC951),MC741 (IC951),2. Marine,Unknown
2. Marine_mc722,mc722,mc722,2. Marine,Unknown
2. Marine_mc723,mc723,mc723,2. Marine,Unknown
2. Marine_mc724,mc724,mc724,2. Marine,Unknown
2. Marine_mc737,mc737,mc737,2. Marine,Unknown
2. Marine_mc741,mc741,mc741,2. Marine,Unknown
3. Transportation_T-C222 (C130),T-C222 (C130),T-C222 (C130),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-C225 (C331),T-C225 (C331),T-C225 (C331),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-C485 (81-0389),T-C485 (81-0389),T-C485 (81-0389),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-OA152 (OS24),T-OA152 (OS24),T-OA152 (OS24),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-OA156 (OA4),T-OA156 (OA4),T-OA156 (OA4),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-OA177(OA13),T-OA177(OA13),T-OA177(OA13),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-OS151 (OS2),T-OS151 (OS2),T-OS151 (OS2),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-OS164 (OS35),T-OS164 (OS35),T-OS164 (OS35),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-OSA155 (OSA),T-OSA155 (OSA),T-OSA155 (OSA),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-R679 (R221),T-R679 (R221),T-R679 (R221),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-R785 (R519),T-R785 (R519),T-R785 (R519),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-S596 (S228),T-S596 (S228),T-S596 (S228),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-T1420,T-T1420,T-T1420,3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-T415 (T215),T-T415 (T215),T-T415 (T215),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-T420 (T220),T-T420 (T220),T-T420 (T220),3. Transportation,Acrylic (incl. PSA)
3. Transportation_T-T430,T-T430,T-T430,3. Transportation,Acrylic (incl. PSA)
3. Transportation_TC452 (IC932),TC452 (IC932),TC452 (IC932),3. Transportation,Acrylic (incl. PSA)
3. Transportation_TC453 (IC933),TC453 (IC933),TC453 (IC933),3. Transportation,Acrylic (incl. PSA)
3. Transportation_TC454 (IC934),TC454 (IC934),TC454 (IC934),3. Transportation,Acrylic (incl. PSA)
3. Transportation_TC456 (IC936),TC456 (IC936),TC456 (IC936),3. Transportation,Acrylic (incl. PSA)
3. Transportation_TC466 (IC946),TC466 (IC946),TC466 (IC946),3. Transportation,Acrylic (incl. PSA)
3. Transportation_TC467 (IC947),TC467 (IC947),TC467 (IC947),3. Transportation,Acrylic (incl. PSA)
3. Transportation_TC471 - ONHOLD,TC471 - ONHOLD,TC471 - ONHOLD,3. Transportation,Acrylic (incl. PSA)
3. Transportation_tc452,tc452,tc452,3. Transportation,Unknown
3. Transportation_tc453,tc453,tc453,3. Transportation,Unknown
3. Transportation_tc454,tc454,tc454,3. Transportation,Unknown
3. Transportation_tc456,tc456,tc456,3. Transportation,Unknown
3. Transportation_tc466,tc466,tc466,3. Transportation,Unknown
3. Transportation_tc467,tc467,tc467,3. Transportation,Unknown
