Product ID,Product Name,Product Code,Product Type,Category,Chemistry Type,Confidence Level,Reasoning,SDS Files,TDS Files
1. Industrial_81-0389,81-0389,81-0389,General,1. Industrial,Unknown,Low,N/A,1,2
1. Industrial_A1000,A1000,A1000,Adhesive,1. Industrial,Unknown,Low,N/A,1,2
1. Industrial_A450,A450,A450,Adhesive,1. Industrial,Unknown,Low,N/A,1,2
1. Industrial_A465,A465,A465,Adhesive,1. Industrial,Unknown,Low,N/A,1,2
1. Industrial_A729,A729,A729,Adhesive,1. Industrial,Unknown,Low,N/A,1,2
1. Industrial_C110,C110,C110,Coating,1. Industrial,Unknown,Low,N/A,1,2
1. Industrial_C130,C130,C130,Coating,1. Industrial,Unknown,Low,N/A,1,2
1. Industrial_C331,C331,C331,Coating,1. Industrial,Unknown,Low,N/A,1,2
1. Industrial_C805,C805,C805,Coating,1. Industrial,Unknown,Low,N/A,1,2
1. Industrial_C830,C830,C830,Coating,1. Industrial,Unknown,Low,N/A,1,2
1. Industrial_C835,C835,C835,Coating,1. Industrial,Unknown,Low,N/A,1,2
1. Industrial_CA1000,CA1000,CA1000,Construction Adhesive,1. Industrial,Unknown,Low,N/A,2,2
1. Industrial_CA1500,CA1500,CA1500,Construction Adhesive,1. Industrial,Unknown,Low,N/A,1,1
1. Industrial_CA2400,CA2400,CA2400,Construction Adhesive,1. Industrial,Unknown,Low,N/A,1,1
1. Industrial_H103,H103,H103,Hot Melt,1. Industrial,Solvent Based,Medium,Hot melt products typically use solvent-based technology,1,2
1. Industrial_H117,H117,H117,Hot Melt,1. Industrial,Solvent Based,Medium,Hot melt products typically use solvent-based technology,1,2
1. Industrial_H158,H158,H158,Hot Melt,1. Industrial,Solvent Based,Medium,Hot melt products typically use solvent-based technology,1,2
1. Industrial_H163,H163,H163,Hot Melt,1. Industrial,Solvent Based,Medium,Hot melt products typically use solvent-based technology,1,2
1. Industrial_H164,H164,H164,Hot Melt,1. Industrial,Solvent Based,Medium,Hot melt products typically use solvent-based technology,1,2
1. Industrial_H167,H167,H167,Hot Melt,1. Industrial,Solvent Based,Medium,Hot melt products typically use solvent-based technology,1,2
1. Industrial_H176,H176,H176,Hot Melt,1. Industrial,Solvent Based,Medium,Hot melt products typically use solvent-based technology,1,2
1. Industrial_IC932,IC932,IC932,Industrial Canister,1. Industrial,Epoxy,Low,Industrial canister products may use various chemistries,1,2
1. Industrial_IC933,IC933,IC933,Industrial Canister,1. Industrial,Epoxy,Low,Industrial canister products may use various chemistries,3,2
1. Industrial_IC934,IC934,IC934,Industrial Canister,1. Industrial,Epoxy,Low,Industrial canister products may use various chemistries,2,2
1. Industrial_IC936,IC936,IC936,Industrial Canister,1. Industrial,Epoxy,Low,Industrial canister products may use various chemistries,3,2
1. Industrial_IC946,IC946,IC946,Industrial Canister,1. Industrial,Epoxy,Low,Industrial canister products may use various chemistries,2,2
1. Industrial_IC947,IC947,IC947,Industrial Canister,1. Industrial,Epoxy,Low,Industrial canister products may use various chemistries,1,2
1. Industrial_IC951,IC951,IC951,Industrial Canister,1. Industrial,Epoxy,Low,Industrial canister products may use various chemistries,1,2
1. Industrial_IC952,IC952,IC952,Industrial Canister,1. Industrial,Epoxy,Low,Industrial canister products may use various chemistries,1,2
1. Industrial_IC955,IC955NF,IC955,Industrial Canister,1. Industrial,Epoxy,Low,Industrial canister products may use various chemistries,1,2
1. Industrial_OA12,OA12,OA12,Oil Adhesive,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,Oil adhesive products often use hybrid polymer technology,1,2
1. Industrial_OA13,OA13,OA13,Oil Adhesive,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,Oil adhesive products often use hybrid polymer technology,1,2
1. Industrial_OA23,OA23,OA23,Oil Adhesive,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,Oil adhesive products often use hybrid polymer technology,1,2
1. Industrial_OA28,OA28,OA28,Oil Adhesive,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,Oil adhesive products often use hybrid polymer technology,0,2
1. Industrial_OA29,OA29,OA29,Oil Adhesive,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,Oil adhesive products often use hybrid polymer technology,0,2
1. Industrial_OA4,OA4,OA4,Oil Adhesive,1. Industrial,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,Oil adhesive products often use hybrid polymer technology,0,2
1. Industrial_OS10,OS10,OS10,Oil Seal,1. Industrial,Silicone,Medium,Oil seal products often use silicone chemistry,1,2
1. Industrial_OS2,OS2,OS2,Oil Seal,1. Industrial,Silicone,Medium,Oil seal products often use silicone chemistry,2,4
1. Industrial_OS20,OS20,OS20,Oil Seal,1. Industrial,Silicone,Medium,Oil seal products often use silicone chemistry,1,2
1. Industrial_OS24,OS24,OS24,Oil Seal,1. Industrial,Silicone,Medium,Oil seal products often use silicone chemistry,1,2
1. Industrial_OS25,OS25,OS25,Oil Seal,1. Industrial,Silicone,Medium,Oil seal products often use silicone chemistry,1,2
1. Industrial_OS35,OS35,OS35,Oil Seal,1. Industrial,Silicone,Medium,Oil seal products often use silicone chemistry,2,2
1. Industrial_OS37,OS37,OS37,Oil Seal,1. Industrial,Silicone,Medium,Oil seal products often use silicone chemistry,2,2
1. Industrial_OS61,OS61,OS61,Oil Seal,1. Industrial,Silicone,Medium,Oil seal products often use silicone chemistry,1,2
1. Industrial_OSA,OSA,OSA,Oil Seal,1. Industrial,Silicone,Medium,Oil seal products often use silicone chemistry,1,2
1. Industrial_R160,R160,R160,Resin,1. Industrial,Epoxy,Medium,Resin products often use epoxy chemistry,2,2
1. Industrial_R190,R190,R190,Resin,1. Industrial,Epoxy,Medium,Resin products often use epoxy chemistry,2,2
1. Industrial_R221,R221,R221,Resin,1. Industrial,Epoxy,Medium,Resin products often use epoxy chemistry,2,2
1. Industrial_R519,R519,R519,Resin,1. Industrial,Epoxy,Medium,Resin products often use epoxy chemistry,2,2
1. Industrial_T205,T205,T205,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
1. Industrial_T215,T215,T215,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
1. Industrial_T220,T220,T220,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
1. Industrial_T305,T305,T305,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
1. Industrial_T310,T310,T310,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
1. Industrial_T449,T449,T449,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
1. Industrial_T464,T464,T464,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
1. Industrial_T465,T465,T465,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
1. Industrial_T532,T532,T532,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
1. Industrial_T710,T710,T710,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
1. Industrial_T715,T715,T715,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
1. Industrial_TA56,TA56,TA56,Tape,1. Industrial,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,1,0
1. Industrial_W700,W700,W700,Waterproofing,1. Industrial,Unknown,Low,N/A,1,2
2. Marine_Environmental Data Sheets,Environmental Data Sheets,Environmental Data Sheets,General,2. Marine,Unknown,Low,N/A,0,0
2. Marine_C280,M-C280 (C130),C280,Coating,2. Marine,Unknown,Low,N/A,1,2
2. Marine_C283,M-C283 (C331),C283,Coating,2. Marine,Unknown,Low,N/A,1,1
2. Marine_C285,M-C285 (81-0389),C285,Coating,2. Marine,Unknown,Low,N/A,2,1
2. Marine_OA755,M-OA755 (OA4),OA755,Oil Adhesive,2. Marine,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,Oil adhesive products often use hybrid polymer technology,1,2
2. Marine_OS764,M-OS764 (OS24),OS764,Oil Seal,2. Marine,Silicone,Medium,Oil seal products often use silicone chemistry,2,2
2. Marine_OS789,M-OS789 (OS2),OS789,Oil Seal,2. Marine,Silicone,Medium,Oil seal products often use silicone chemistry,2,2
2. Marine_OS796,M-OS796 (OS16),OS796,Oil Seal,2. Marine,Silicone,Medium,Oil seal products often use silicone chemistry,1,2
2. Marine_OSA783,M-OSA783 (OSA),OSA783,Oil Seal,2. Marine,Silicone,Medium,Oil seal products often use silicone chemistry,1,2
2. Marine_R420,M-R420 (R160),R420,Resin,2. Marine,Epoxy,Medium,Resin products often use epoxy chemistry,5,1
2. Marine_R445,M-R445 (R221),R445,Resin,2. Marine,Epoxy,Medium,Resin products often use epoxy chemistry,2,1
2. Marine_R478,M-R478 (R519),R478,Resin,2. Marine,Epoxy,Medium,Resin products often use epoxy chemistry,4,2
2. Marine_T815,M-T815 (T215),T815,Tape,2. Marine,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
2. Marine_T820,M-T820 (T220),T820,Tape,2. Marine,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
2. Marine_MC722,MC722 (IC932),MC722,Industrial Canister,2. Marine,Epoxy,Low,Industrial canister products may use various chemistries,2,2
2. Marine_MC723,MC723 (IC933),MC723,Industrial Canister,2. Marine,Epoxy,Low,Industrial canister products may use various chemistries,3,2
2. Marine_MC724,MC724 (IC934),MC724,Industrial Canister,2. Marine,Epoxy,Low,Industrial canister products may use various chemistries,2,1
2. Marine_MC736,MC736 (IC946),MC736,Industrial Canister,2. Marine,Epoxy,Low,Industrial canister products may use various chemistries,2,2
2. Marine_MC737,MC737 (IC947),MC737,Industrial Canister,2. Marine,Epoxy,Low,Industrial canister products may use various chemistries,2,2
2. Marine_MC739,MC739,MC739,Coating,2. Marine,Unknown,Low,N/A,2,2
2. Marine_MC741,MC741 (IC951),MC741,Industrial Canister,2. Marine,Epoxy,Low,Industrial canister products may use various chemistries,8,3
3. Transportation_C222,T-C222 (C130),C222,Tape,3. Transportation,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,1,1
3. Transportation_C225,T-C225 (C331),C225,Tape,3. Transportation,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,1,1
3. Transportation_C485,T-C485 (81-0389),C485,Tape,3. Transportation,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,1,1
3. Transportation_OA152,T-OA152 (OS24),OA152,Tape,3. Transportation,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,1,1
3. Transportation_OA156,T-OA156 (OA4),OA156,Tape,3. Transportation,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,0,2
3. Transportation_OA177,T-OA177(OA13),OA177,Tape,3. Transportation,Acrylic (incl. PSA),Medium,Classified as tape - likely pressure-sensitive adhesive,1,1
