Category,Product Name,Chemistry Type,Confidence Level,Score,Reasoning
1. Industrial,81-0389,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,A1000,Acrylic (incl. PSA),Medium,5,Product name pattern 'A' suggests Acrylic (incl. PSA)
1. Industrial,A450,Acrylic (incl. PSA),Medium,5,Product name pattern 'A' suggests Acrylic (incl. PSA)
1. Industrial,A465,Acrylic (incl. PSA),Medium,5,Product name pattern 'A' suggests Acrylic (incl. PSA)
1. Industrial,A729,Acrylic (incl. PSA),Medium,5,Product name pattern 'A' suggests Acrylic (incl. PSA)
1. Industrial,C110,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,C130,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,C331,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,C805,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,C830,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,C835,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,CA1000,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,CA1500,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,CA2400,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,H103,Solvent Based,Medium,5,Product name pattern 'H' suggests Solvent Based; Product name pattern 'H' suggests HotMelt
1. Industrial,H117,Solvent Based,Medium,5,Product name pattern 'H' suggests Solvent Based; Product name pattern 'H' suggests HotMelt
1. Industrial,H158,Solvent Based,Medium,5,Product name pattern 'H' suggests Solvent Based; Product name pattern 'H' suggests HotMelt
1. Industrial,H163,Solvent Based,Medium,5,Product name pattern 'H' suggests Solvent Based; Product name pattern 'H' suggests HotMelt
1. Industrial,H164,Solvent Based,Medium,5,Product name pattern 'H' suggests Solvent Based; Product name pattern 'H' suggests HotMelt
1. Industrial,H167,Solvent Based,Medium,5,Product name pattern 'H' suggests Solvent Based; Product name pattern 'H' suggests HotMelt
1. Industrial,H176,Solvent Based,Medium,5,Product name pattern 'H' suggests Solvent Based; Product name pattern 'H' suggests HotMelt
1. Industrial,IC932,Epoxy,Medium,5,Product name pattern 'IC' suggests Epoxy
1. Industrial,IC933,Epoxy,Medium,5,Product name pattern 'IC' suggests Epoxy
1. Industrial,IC934,Epoxy,Medium,5,Product name pattern 'IC' suggests Epoxy
1. Industrial,IC936,Epoxy,Medium,5,Product name pattern 'IC' suggests Epoxy
1. Industrial,IC946,Epoxy,Medium,5,Product name pattern 'IC' suggests Epoxy
1. Industrial,IC947,Epoxy,Medium,5,Product name pattern 'IC' suggests Epoxy
1. Industrial,IC951,Epoxy,Medium,5,Product name pattern 'IC' suggests Epoxy
1. Industrial,IC952,Epoxy,Medium,5,Product name pattern 'IC' suggests Epoxy
1. Industrial,IC955NF,Epoxy,Medium,5,Product name pattern 'IC' suggests Epoxy
1. Industrial,OA12,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,5,Product name pattern 'OA' suggests Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial,OA13,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,5,Product name pattern 'OA' suggests Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial,OA23,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,5,Product name pattern 'OA' suggests Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial,OA28,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,5,Product name pattern 'OA' suggests Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial,OA29,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,5,Product name pattern 'OA' suggests Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial,OA4,Modified Silane (MS Polymer/ Hybrid Polymer),Medium,5,Product name pattern 'OA' suggests Modified Silane (MS Polymer/ Hybrid Polymer)
1. Industrial,OS10,Silicone,Medium,5,Product name pattern 'OS' suggests Silicone
1. Industrial,OS2,Silicone,Medium,5,Product name pattern 'OS' suggests Silicone
1. Industrial,OS20,Silicone,Medium,5,Product name pattern 'OS' suggests Silicone
1. Industrial,OS24,Silicone,Medium,5,Product name pattern 'OS' suggests Silicone
1. Industrial,OS25,Silicone,Medium,5,Product name pattern 'OS' suggests Silicone
1. Industrial,OS35,Silicone,Medium,5,Product name pattern 'OS' suggests Silicone
1. Industrial,OS37,Silicone,Medium,5,Product name pattern 'OS' suggests Silicone
1. Industrial,OS61,Silicone,Medium,5,Product name pattern 'OS' suggests Silicone
1. Industrial,OSA,Silicone,Medium,5,Product name pattern 'OS' suggests Silicone
1. Industrial,R160,Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
1. Industrial,R190,Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
1. Industrial,R221,Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
1. Industrial,R519,Epoxy,Medium,5,Product name pattern 'R' suggests Epoxy; Product name pattern 'R' suggests Modified Epoxies
1. Industrial,T205,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
1. Industrial,T215,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
1. Industrial,T220,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
1. Industrial,T305,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
1. Industrial,T310,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
1. Industrial,T449,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
1. Industrial,T464,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
1. Industrial,T465,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
1. Industrial,T532,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
1. Industrial,T710,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
1. Industrial,T715,Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
1. Industrial,TA56,Acrylic (incl. PSA),High,10,Product name pattern 'T' suggests Acrylic (incl. PSA); Product name pattern 'TA' suggests Acrylic (incl. PSA)
1. Industrial,W700,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,mc739,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,os55,Unknown,Low,0,No chemistry indicators found in product files
1. Industrial,t500,Unknown,Low,0,No chemistry indicators found in product files
2. Marine,Environmental Data Sheets,Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-C280 (C130),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-C283 (C331),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-C285 (81-0389),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-OA755 (OA4),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-OS764 (OS24),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-OS789 (OS2),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-OS796 (OS16),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-OSA783 (OSA),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-R420 (R160),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-R445 (R221),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-R478 (R519),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-T815 (T215),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,M-T820 (T220),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,MC722 (IC932),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,MC723 (IC933),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,MC724 (IC934),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,MC736 (IC946),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,MC737 (IC947),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,MC739,Unknown,Low,0,No chemistry indicators found in product files
2. Marine,MC741 (IC951),Unknown,Low,0,No chemistry indicators found in product files
2. Marine,mc722,Unknown,Low,0,No chemistry indicators found in product files
2. Marine,mc723,Unknown,Low,0,No chemistry indicators found in product files
2. Marine,mc724,Unknown,Low,0,No chemistry indicators found in product files
2. Marine,mc737,Unknown,Low,0,No chemistry indicators found in product files
2. Marine,mc741,Unknown,Low,0,No chemistry indicators found in product files
3. Transportation,T-C222 (C130),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-C225 (C331),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-C485 (81-0389),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-OA152 (OS24),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-OA156 (OA4),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-OA177(OA13),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-OS151 (OS2),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-OS164 (OS35),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
3. Transportation,T-OSA155 (OSA),Acrylic (incl. PSA),Medium,5,Product name pattern 'T' suggests Acrylic (incl. PSA)
